ID	Fecha	Categoría	Género	Gana	Pts.F	Pts.C	Pierde	Diferencia
88	2012-07-03	Juvenil	Varonil	Francia	41	0	Suecia	41
89	2011-07-10	Absoluto	Varonil	Estados Unidos	48	7	Alemania	41
90	2009-06-27	Juvenil	Varonil	México	41	0	Suecia	41
91	2005-07-26	Juvenil	Varonil	Francia	41	0	Dinamarca	41
92	2004-08-25	Absoluto	Varonil	Reino Unido	41	0	España	41
93	2016-07-23	Absoluto	Varonil	Samoa Americana	52	12	Polinesia Francesa	40
94	2014-05-30	Absoluto	Varonil	Alemania	47	7	Finlandia	40
95	2012-06-30	Juvenil	Varonil	Austria	40	0	Panamá	40
96	2008-07-17	Juvenil	Varonil	Dinamarca	46	6	Finlandia	40
97	2008-07-14	Juvenil	Varonil	Suecia	40	0	España	40
98	2002-07-30	Juvenil	Varonil	Rusia	40	0	Checa	40
99	2000-05-06	Juvenil	Varonil	Gran Bretaña	40	0	Países Bajos	40
100	2015-12-06	Absoluto	Varonil	El Salvador	38	0	Nicaragua	38
101	2015-08-08	Absoluto	Femenil	Finlandia	50	12	Reino Unido	38
102	2015-08-02	Absoluto	Femenil	Finlandia	56	18	España	38
103	2014-04-12	Absoluto	Varonil	Japón	38	0	Alemania	38
104	2011-07-15	Absoluto	Varonil	Austria	48	10	Australia	38
105	2009-07-04	Juvenil	Varonil	EEUU	41	3	Canadá	38
